Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Bangladesh/429/2016	3.33	4.07	A1	Bangladesh	20.00	0.00	12.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-08-09		EPI865318	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/HongKong/2398/2016	3.33	4.07	A1	Hong Kong	19.00	0.00	12.00		4.00	China	Centers For Disease Control And Prevention	2016-08-03		EPI836523	Government Virus Unit
A/Daegu/751/2017	3.33	4.29	A1	South Korea	19.00	0.00	13.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-09-25		EPI1148042	National Institute Of Health
A/Taiwan/904/2016	3.33	4.07	A1	Taiwan	19.00	0.00	12.00		4.00	China	Centers For Disease Control And Prevention	2016-11-06		EPI944602	Adimmune Corporation
A/Bangladesh/2176/2016	5.53	5.22	A1	Bangladesh	20.00	0.00	11.00		5.00	South Asia	Centers For Disease Control And Prevention	2016-07-11		EPI843948	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Kanagawa/AC1602/2016	5.79	4.07	A1	Japan	20.00	0.00	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-10-17		EPI858007	National Institute Of Infectious Diseases (niid)
A/SaudiArabia/192840/2016	5.79	4.07	A1	Saudi Arabia	20.00	0.00	11.00		4.00	West Asia	Crick Worldwide Influenza Centre	2016-10-24 (2016-07-21 - 2017-01-01)		EPI867240	Ministry Of Health Riyadh
A/Dominica/8432/2016	5.79	4.07	A1	Dominica	21.00	0.00	11.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2016-11-02		EPI886829	Caribbean Epidemiology Center
A/Jilin-Ningjiang/1222/2016	5.79	4.07	A1	China	19.00	0.00	11.00		4.00	China	Who Chinese National Influenza Center	2016-03-25		EPI777821	Who Chinese National Influenza Center
A/Gifu/28/2016	5.79	4.07	A1	Japan	19.00	0.00	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-07-30		EPI858882	Gifu Prefectural Institute Of Health And Environmental Sciences
A/Bangladesh/2007/2016	5.79	4.07	A1	Bangladesh	19.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-07-12		EPI832349	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Shanghai-Pudongxin/11809/2015	3.20	4.07	A1	China	19.00	0.03	12.00		4.00	China	Centers For Disease Control And Prevention	2015-11-10		EPI710393	Who Chinese National Influenza Center
A/Tasmania/3/2016	3.20	4.07	A1	Australia	19.00	0.01	13.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2016-02-12		EPI813324	Royal Hobart Hospital
A/Niigata-C/52/2015	3.29	4.07	A1	Japan	19.00	0.03	13.00	2.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2015-12-19		EPI726886	Niigata City Institute Of Public Health And Environment
A/Oman/SS01/2016	3.29	4.07	A1	Oman	19.00	0.01	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2016-04-18		EPI829918	Central Public Health Laboratory, Ministry Of Health
A/SouthAustralia/172/2015	3.29	4.07	A1	Australia	19.00	0.05	12.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2015-10-31		EPI750888	Institute Of Medical And Veterinary Science (imvs)
A/Singapore/INFSGH-16-0119/2016	3.29	4.07	A1	Singapore	19.00	0.01	14.00	2.00	4.00	Southeast Asia	Ministry Of Health, Singapore	2016-02-27		EPI780720	Ministry Of Health, Singapore
A/Oman/4554/2016	3.29	4.44	A1	Oman	21.00	0.01	11.00	2.00	4.00	West Asia	Centers For Disease Control And Prevention	2016-05-11		EPI814341	Central Public Health Laboratory, Ministry Of Health
A/Illinois/27/2015	3.29	4.07	A1	USA	20.00	0.04	11.00		4.00	North America	Centers For Disease Control And Prevention	2015-12-16		EPI689148	Illinois Department Of Public Health Chicago
A/HongKong/98/2016	3.29	4.07	A1	Hong Kong	21.00	0.03	11.00	1.00	4.00	China	Centers For Disease Control And Prevention	2016-01-03		EPI718988	Government Virus Unit
A/SouthAustralia/135/2016	3.29	4.07	A1	Australia	20.00	0.00	11.00		4.00	Oceania	Centers For Disease Control And Prevention	2016-11-05		EPI1240240	Institute Of Medical And Veterinary Science (imvs)
A/Newcastle/30/2016	3.29	4.07	A1	Australia	19.00	0.01	11.00		4.00	Oceania	Centers For Disease Control And Prevention	2016-03-30		EPI866686	John Hunter Hospital
A/Sydney/80/2016	3.29	4.07	A1	Australia	22.00	0.02	13.00	3.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2016-03-04		EPI834914	Westmead Hospital
A/Bahrain/801/2016	3.29	4.65	A1	Bahrain	22.00	0.00	11.00	2.00	4.00	West Asia	Centers For Disease Control And Prevention	2016-09-21		EPI955695	Ministry Of Health Bahrain
A/SouthAfrica/5034/2016	3.62	4.07	A1a	South Africa	20.00	0.00	12.00		4.00	Africa	Centers For Disease Control And Prevention	2016-07-20		EPI858420	National Institute For Communicable Disease
A/Taiwan/1095/2016	3.92	5.22	A1a	Taiwan	21.00	0.00	12.00		5.00	China	Centers For Disease Control And Prevention	2016-12-29		EPI912936	Adimmune Corporation
A/Zaporizhia/158/2017	3.92	4.07	A1a	Ukraine	20.00	0.00	12.00		4.00	Europe	Centers For Disease Control And Prevention	2017-01-03		EPI1017073	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Yokohama/124/2016	3.92	4.07	A1a	Japan	20.00	0.00	12.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-08-20		EPI854228	Yokohama City Institute Of Public Health.
A/Albania/7195/2016	3.62	4.07	A1a	Albania	20.00	0.00	13.00	1.00	4.00	Europe	Centers For Disease Control And Prevention	2016-11-23 (2016-09-04 - 2017-01-01)		EPI896825	Institute Of Public Health
A/Norway/4314/2016	3.62	4.07	A1a	Norway	21.00	0.00	12.00		4.00	Europe	Norwegian Institute Of Public Health	2016-10-21		EPI864033	Akershus University Hospital
A/Albania/7178/2016	3.62	4.07	A1a	Albania	20.00	0.00	12.00		4.00	Europe	Centers For Disease Control And Prevention	2016-12-27		EPI896865	Institute Of Public Health
A/Bangkok/35/2017	3.62	7.50	A1a	Thailand	20.00	0.00	12.00		3.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2017-04-23		EPI1044762	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Kyiv/891/2016	4.63	4.42	A1a	Ukraine	22.00	0.00	14.00	1.00	4.00	Europe	Centers For Disease Control And Prevention	2016-11-29		EPI896207	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Khmelnitsky/2480/2016	4.63	4.42	A1a	Ukraine	22.00	0.00	13.00		4.00	Europe	Centers For Disease Control And Prevention	2016-12-22		EPI910736	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Norway/2629/2017	3.62	4.42	A1a	Norway	21.00	0.00	13.00	1.00	4.00	Europe	Crick Worldwide Influenza Centre	2017-05-04		EPI1043056	Who National Influenza Centre
A/Thailand/46/2017	3.62	4.79	A1a	Thailand	21.00	0.00	13.00	2.00	4.00	Southeast Asia	Centers For Disease Control And Prevention	2017-08-02		EPI1058577	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/StPetersburg/274/2017	3.62	4.42	A1a	Russia	21.00	0.00	12.00		4.00	West Asia	Crick Worldwide Influenza Centre	2017-04-12		EPI1043076	Who National Influenza Centre Russian Federation
A/CostaRica/6684/2017	3.89	4.42	A1a	Costa Rica	23.00	0.00	12.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2017-07-14		EPI1086089	Laboratorio Nacional De Influenza
A/CostaRica/4869/2017	3.89	4.42	A1a	Costa Rica	22.00	0.00	12.00		4.00	North America	Centers For Disease Control And Prevention	2017-06-27		EPI1086065	Laboratorio Nacional De Influenza
A/SouthAfrica/R05675/2017	4.12	4.42	A1a	South Africa	22.00	0.00	12.00		4.00	Africa	Centers For Disease Control And Prevention	2017-06-30		EPI1049334	National Institute For Communicable Disease
A/SouthAfrica/R05461/2017	4.12	4.42	A1a	South Africa	22.00	0.00	12.00		4.00	Africa	Centers For Disease Control And Prevention	2017-06-27		EPI1049477	National Institute For Communicable Disease
A/Pakistan/199/2017	4.12	4.42	A1a	Pakistan	22.00	0.00	12.00		4.00	West Asia	Centers For Disease Control And Prevention	2017-08-24		EPI1142274	National Institute Of Health
A/Paris/1168/2017	3.62	4.42	A1a	France	22.00	0.00	12.00	1.00	4.00	Europe	Institut Pasteur	2017-03-14		EPI973380	
A/Brazil/9512/2017	3.62	4.42	A1a	Brazil	21.00	0.00	12.00		4.00	South America	Centers For Disease Control And Prevention	2017-01-12		EPI1047803	Instituto Adolfo Lutz
A/Brazil/491/2017	3.62	4.42	A1a	Brazil	21.00	0.00	13.00	1.00	4.00	South America	Centers For Disease Control And Prevention	2017-06-10		EPI1048989	Instituto Oswaldo Cruz Fiocruz Laboratory Of Respiratory Viruses And Measles (lvrs)
A/Roraima/147244-IEC/2017	3.62	4.42	A1a	Brazil	22.00	0.00	12.00	1.00	4.00	South America	Centers For Disease Control And Prevention	2017-03-23		EPI1048574	Evandro Chagas Institute
A/Victoria/2011/2017	3.62	5.18	A1a	Australia	21.00	0.00	12.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2017-04-06		EPI1044723	Alfred Hospital
A/Brazil/4729/2017	3.62	5.18	A1a	Brazil	22.00	0.00	12.00		4.00	South America	Centers For Disease Control And Prevention	2017-09-13		EPI1197181	Instituto Adolfo Lutz
A/Norway/2171/2017	3.62	5.18	A1a	Norway	22.00	0.00	12.00		4.00	Europe	Crick Worldwide Influenza Centre	2017-04-02		EPI1036379	Who National Influenza Centre
A/Congo/553/2017	3.62	5.40	A1a	Congo	22.00	0.00	13.00		4.00	Africa	Centers For Disease Control And Prevention	2017-12-08		EPI1205314	Inrb Service De Virologie
A/Congo/467/2017	3.62	5.40	A1a	Congo	23.00	0.00	13.00		4.00	Africa	Centers For Disease Control And Prevention	2017-11-10		EPI1205370	Inrb Service De Virologie
A/Jordan/20346/2016	3.29	4.07	A1	Jordan	21.00	0.01	12.00	1.00	4.00	West Asia	Crick Worldwide Influenza Centre	2016-03-10		EPI769497	Laboratory Directorate
A/Scotland/63440582/2016	3.29	4.07	A1	United Kingdom	21.00	0.00	11.00	1.00	4.00	Europe	Microbiology Services Colindale, Public Health England	2016-08-26		EPI831435	Gart Naval General Hospital
A/Fukushima/74/2016	3.29	4.07	A1	Japan	20.00	0.02	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-02-14		EPI765003	Fukushima Prefectural Institute Of Public Health
A/Dnipro/582/2016	3.29	4.07	A1	Bangladesh	20.00	0.02	12.00	1.00	4.00	South Asia	Centers For Disease Control And Prevention	2016-02-25		EPI775535	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Kenya/115/2016	3.29	4.18	A1	Kenya	21.00	0.00	12.00	2.00	4.00	Africa	Centers For Disease Control And Prevention	2016-11-13		EPI924831	Cdc Kenya
A/Mozambique/207/2016	3.29	4.07	A1	Mozambique	20.00	0.02	11.00		4.00	Africa	Centers For Disease Control And Prevention	2016-02-29		EPI857598	Laboratório De Isolamento Viral
A/Congo/941/2016	4.37	4.07	A1	Congo	20.00	0.01	11.00		4.00	Africa	Centers For Disease Control And Prevention	2016-06-01		EPI841245	Inrb Service De Virologie
A/Antananarivo/1067/2016	4.37	4.07	A1	Madagascar	20.00	0.01	11.00		4.00	Africa	Centers For Disease Control And Prevention	2016-04-06		EPI1085522	Institut Pasteur De Madagascar
A/Sapporo/89/2016	3.29	4.07	A1	Japan	20.00	0.01	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-06-05		EPI854220	Sapporo City Institute Of Public Health
A/Singapore/INFGP-16-0067/2016	3.29	4.07	A1	Singapore	20.00	0.03	11.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2016-01-12		EPI780552	Ministry Of Health, Singapore
A/Egypt/1323/2016	3.29	4.07	A1	Egypt	20.00	0.02	11.00		4.00	Africa	Crick Worldwide Influenza Centre	2016-01-20		EPI769537	Ministry Of Health And Population
A/Singapore/INFKK-16-0294/2016	3.29	4.07	A1	Singapore	20.00	0.02	11.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2016-03-05		EPI780760	Ministry Of Health, Singapore
A/Singapore/INFEN-16-0172/2016	3.29	4.07	A1	Singapore	20.00	0.02	11.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2016-03-05		EPI780776	Ministry Of Health, Singapore
A/Dnipro/769/2016	3.29	4.07	A1	Bangladesh	20.00	0.01	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-04-02		EPI775600	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Algeria/G0543/2016	3.29	4.07	A1	Algeria	20.00	0.02	11.00		4.00	Africa	Crick Worldwide Influenza Centre	2016-02-26		EPI758684	Institut Pasteur D'algerie
A/Singapore/Infimh-16-0019/2016	3.29	4.07	A1	Singapore	21.00	0.00	12.00	1.00	4.00	Southeast Asia	Who Chinese National Influenza Center	2016-06-15	2017-09-28	EPI1381186	Ministry Of Health, Singapore
A/Arizona/67/2016	3.29	4.11	A1	USA	21.00	0.01	12.00	1.00	4.00	North America	Centers For Disease Control And Prevention	2016-05-05		EPI1118427	Arizona Department Of Health Services
A/Shimane/50/2016	3.29	4.07	A1	Japan	21.00	0.00	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-08-09		EPI854224	Shimane Prefectural Institute Of Public Health And Environmental Science
A/England/62440424/2016	3.29	4.07	A1	United Kingdom	22.00	0.01	12.00	2.00	4.00	Europe	Microbiology Services Colindale, Public Health England	2016-06-13		EPI878188	Microbiology Services Colindale, Public Health England
A/Bangladesh/931/2016	3.29	4.07	A1	Bangladesh	21.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-09-25		EPI871465	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Oman/4909/2016	3.29	4.07	A1	Oman	21.00	0.01	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2016-05-28		EPI814349	Central Public Health Laboratory, Ministry Of Health
A/Reunion/2038/2016	3.29	4.07	A1	France	21.00	0.00	11.00		4.00	Europe	Centers For Disease Control And Prevention	2016-06-29		EPI1322052	Cnr Influenza France Sud
A/California/213/2016	3.29	4.07	A1	USA	21.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2016-12-31		EPI895874	California Department Of Health Services
A/Maine/22/2016	3.29	4.07	A1	USA	21.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2016-09-18		EPI857550	Maine Health And Environmental Testing Laboratory
A/Bangladesh/3001/2016	3.29	4.07	A1	Bangladesh	21.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-09-02		EPI861942	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Washington/106/2016	3.29	4.42	A1	USA	22.00	0.00	11.00		4.00	North America	Other Database Import	2016-12-19		EPI1090847	Washington State Public Health Laboratory
A/Delaware/32/2016	3.29	4.42	A1	USA	22.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2016-11-16		EPI1035199	Delaware Public Health Lab
A/Guyane/501/2016	3.29	4.07	A1	French Guiana	22.00	0.00	11.00	1.00	4.00	South America	Centers For Disease Control And Prevention	2016-11-28		EPI924887	National Influenza Center French Guiana And French Indies
A/Singapore/TT0150/2017	3.51	4.07	A1	Singapore	21.00	0.00	11.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2017-02-09		EPI957250	Ministry Of Health, Singapore
A/Brazil/2128/2017	3.51	4.07	A1	Brazil	21.00	0.00	11.00		4.00	South America	Centers For Disease Control And Prevention	2017-03-01		EPI1047836	Instituto Adolfo Lutz
A/Guyane/601/2016	3.51	4.07	A1	French Guiana	21.00	0.00	11.00		4.00	South America	Centers For Disease Control And Prevention	2016-12-30		EPI924943	National Influenza Center French Guiana And French Indies
A/Guyane/590/2016	3.51	4.07	A1	French Guiana	21.00	0.00	11.00		4.00	South America	Centers For Disease Control And Prevention	2016-12-13		EPI924935	National Influenza Center French Guiana And French Indies
A/Brisbane/319/2016	3.29	4.19	A1b	Australia	20.00	0.01	10.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2016-12-15		EPI919276	Queensland Health Scientific Services
A/Sydney/124/2017	3.29	4.07	A1b	Australia	21.00	0.00	13.00	2.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2017-03-27		EPI1044735	Clinical Virology Unit, Cdim
A/Kanagawa/IC1603/2016	3.29	4.07	A1b	Japan	20.00	0.01	12.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-12-13		EPI873785	National Institute Of Infectious Diseases (niid)
A/Kanagawa/ZC1607/2017	3.29	4.07	A1b	Japan	20.00	0.01	12.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-01-12		EPI909558	National Institute Of Infectious Diseases (niid)
A/Dnipro/734/2016	3.29	4.07	A1b	Bangladesh	20.00	0.01	10.00	1.00	4.00	South Asia	Crick Worldwide Influenza Centre	2016-12-01		EPI1010436	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Dnipro/693/2016	3.29	4.07	A1b	Bangladesh	20.00	0.01	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2016-11-26		EPI897075	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Dnipro/245/2017	3.29	4.07	A1b	Bangladesh	20.00	0.01	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-01-16		EPI1017096	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Dnipro/733/2016	3.29	4.07	A1b	Bangladesh	20.00	0.01	11.00		4.00	South Asia	Crick Worldwide Influenza Centre	2016-12-01		EPI1010434	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
A/Texas/68/2017	4.39	5.83	A1b	USA	21.00	0.00	10.00	1.00	5.00	North America	Centers For Disease Control And Prevention	2017-03-01		EPI1026750	Dallas County Health And Human Services
A/Florida/23/2017	4.39	5.50	A1b	USA	21.00	0.00	11.00		5.00	North America	Centers For Disease Control And Prevention	2017-03-23		EPI1026758	Florida Department Of Health Jacksonville
A/Kobe/582/2016	3.70	5.22	A1b	Japan	21.00	0.01	11.00		5.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-11-15		EPI952549	Kobe Institute Of Health
A/Yamaguchi/34/2016	3.70	5.22	A1b	Japan	21.00	0.02	13.00	2.00	5.00	Japan Korea	Centers For Disease Control And Prevention	2016-10-29		EPI918543	Yamaguchi Prefectural Institute Of Public Health And Environment
A/Oman/7488/2016	4.95	4.07	A1b	Oman	22.00	0.02	11.00		4.00	West Asia	Crick Worldwide Influenza Centre	2016-10-31		EPI978710	Central Public Health Laboratory, Ministry Of Health
A/SriLanka/32/2016	4.95	4.07	A1b	Sri Lanka	22.00	0.02	12.00	1.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2016-10-31		EPI903907	Medical Research Institute
A/Kilifi/93/2016	4.95	4.07	A1b	Kenya	22.00	0.01	11.00		4.00	Africa	Kemri Wellcome Trust Research Programme (kwtrp)	2016-11-17		EPI1603438	Kemri Wellcome Trust Research Programme Cgmrc
A/Kilifi/107/2016	4.95	4.07	A1b	Kenya	22.00	0.01	11.00		4.00	Africa	Kemri Wellcome Trust Research Programme (kwtrp)	2016-12-02		EPI1604314	Kemri Wellcome Trust Research Programme Cgmrc
A/Guatemala/137/2017	5.30	4.07	A1b	Guatemala	22.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2017-05-22		EPI1049105	Laboratorio Nacional De Salud Guatemala
A/Guatemala/12400/2017	5.30	4.07	A1b	Guatemala	22.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2017-04-17		EPI1049284	Laboratorio Nacional De Salud Guatemala
A/Honduras/444/2017	4.95	4.07	A1b	Honduras	22.00	0.00	11.00		4.00	North America	Centers For Disease Control And Prevention	2017-06-27		EPI1056331	Laboratorio Nacional De Virologia
A/Bolivia/1/2018	4.95	4.53	A1b	Bolivia	21.00	0.00	12.00	3.00	4.00	South America	Centers For Disease Control And Prevention	2018-01-04		EPI1277436	Instituto Nacional De Laboratoriosde Salud (inlasa)
A/Norway/4105/2016	3.75	4.07	A1b	Norway	20.00	0.05	11.00		4.00	Europe	Crick Worldwide Influenza Centre	2016-08-18		EPI867130	Who National Influenza Centre
A/Wisconsin/85/2016	3.75	4.07	A1b	USA	20.00	0.03	11.00		4.00	North America	Centers For Disease Control And Prevention	2016-10-03		EPI857055	Wisconsin State Laboratory Of Hygiene
A/SouthCarolina/4/2017	3.75	4.07	A1b	USA	20.00	0.01	11.00		4.00	North America	Centers For Disease Control And Prevention	2017-01-17		EPI1094351	South Carolina Department Of Health
A/Singapore/TT0555/2017	3.75	4.07	A1b	Singapore	20.00	0.00	11.00		4.00	Southeast Asia	Ministry Of Health, Singapore	2017-05-12		EPI1023828	Ministry Of Health, Singapore
A/Corte/1214/2017	3.75	4.07	A1b	France	20.00	0.01	11.00		4.00	Europe	Centers For Disease Control And Prevention	2017-03-02		EPI1321940	Cnr Influenza France Sud
A/Tokyo/EH1603/2016	3.36	4.07	A1b	Japan	21.00	0.05	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2016-11-30		EPI867728	National Institute Of Infectious Diseases (niid)
A/SouthAustralia/91/2017	3.36	4.42	A1b/135N	Australia	21.00	0.01	12.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2017-05-09		EPI1031509	Institute Of Medical And Veterinary Science (imvs)
A/India/9930/2017	4.98	4.42	A1b/135N	India	22.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-10-27		EPI1163286	National Institute Of Virology
A/Pakistan/225/2017	4.98	4.42	A1b/135N	Pakistan	22.00	0.00	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2017-09-26		EPI1142306	National Institute Of Health
A/Macau/600279/2018	4.98	4.42	A1b/135N	China	22.00	0.00	11.00		4.00	China	Who Collaborating Centre For Reference And Research On Influenza	2018-01-10		EPI1251140	Laboratorio De Saude Publico
A/Pakistan/178/2017	4.98	4.64	A1b/135N	Pakistan	22.00	0.01	12.00	1.00	4.00	West Asia	Centers For Disease Control And Prevention	2017-08-01		EPI1142346	National Institute Of Health
A/SriLanka/93/2017	3.36	4.42	A1b/135N	Sri Lanka	22.00	0.00	11.00	1.00	4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2017-11-15		EPI1179455	Medical Research Institute
A/India/8050/2017	3.36	4.42	A1b/135N	India	21.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-09-02		EPI1163316	National Institute Of Virology
A/Fiji/50/2018	3.36	4.42	A1b/135N	Fiji	21.00	0.00	11.00		4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2018-03-14 (2018-01-01 - 2018-12-31)		EPI1269254	National Centre For Scientific Services For Virology And Vector Borne Diseases
A/Canterbury/3/2018	3.36	4.42	A1b/135N	New Zealand	21.00	0.00	12.00	1.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2018-06-14		EPI1279334	Institute Of Environmental Science And Research
A/Nagano/2731/2017	3.36	4.42	A1b/135N	Japan	21.00	0.00	12.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-11-28		EPI1215421	Nagano Environmental Conservation Research Institute
A/SriLanka/94/2017	3.36	4.42	A1b/135N	Sri Lanka	21.00	0.00	11.00		4.00	South Asia	Who Collaborating Centre For Reference And Research On Influenza	2017-11-30		EPI1179458	Medical Research Institute
A/Orebro/1/2017	4.29	4.42	A1b/135N	Sweden	21.00	0.01	11.00		4.00	Europe	Public Health Agency Of Sweden	2017-07-02		EPI1076109	
A/AbuDhabi/1/2017	4.29	4.42	A1b/135N	United Arab Emirates	22.00	0.00	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2017-10-15		EPI1179733	Shaikh Khalifa Medical City
A/Bangladesh/1011/2017	4.29	4.42	A1b/135N	Bangladesh	21.00	0.01	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-07-19		EPI1107703	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/Bangladesh/8006/2018	4.37	4.42	A1b/135N	Bangladesh	22.00	0.00	12.00	1.00	4.00	South Asia	Centers For Disease Control And Prevention	2018-08-13		EPI1329177	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
A/AbuDhabi/14/2017	4.37	4.42	A1b/135N	United Arab Emirates	21.00	0.00	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2017-10-23		EPI1179836	Shaikh Khalifa Medical City
A/SouthAfrica/R00489/2018	4.37	4.42	A1b/135N	South Africa	22.00	0.00	12.00	2.00	4.00	Africa	Who Collaborating Centre For Reference And Research On Influenza	2018-01-16		EPI1270687	National Institute For Communicable Disease
A/HongKong/3571/2017	4.37	4.42	A1b/135N	Hong Kong	21.00	0.01	11.00		4.00	China	Centers For Disease Control And Prevention	2017-07-18		EPI1048661	Government Virus Unit
A/Pakistan/192/2017	4.37	4.42	A1b/135N	Pakistan	21.00	0.00	11.00		4.00	West Asia	Centers For Disease Control And Prevention	2017-08-23		EPI1142252	National Institute Of Health
A/Zhejiang-Nanhu/1745/2017	4.37	4.42	A1b/135N	China	21.00	0.00	11.00		4.00	China	Centers For Disease Control And Prevention	2017-09-11		EPI1197710	Who Chinese National Influenza Center
A/Yokohama/145/2017	4.37	4.42	A1b/135N	Japan	21.00	0.00	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-09-28		EPI1126242	Yokohama City Institute Of Public Health.
A/India/6032/2017	4.37	4.42	A1b/135N	India	21.00	0.00	11.00		4.00	South Asia	Centers For Disease Control And Prevention	2017-10-16		EPI1163272	National Institute Of Virology
A/Wakayama-C/102/2017	3.54	4.42	A1b/135N	Japan	21.00	0.01	11.00		4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2017-07-24		EPI1086430	Wakayama City Institute Of Public Health
A/Osaka/1/2018	3.54	4.42	A1b/135N	Japan	21.00	0.00	12.00	1.00	4.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2018-01-10		EPI1241697	Osaka Prefectural Institute Of Public Health
A/Kanagawa/IC1725/2018	3.54	5.57	A1b/135N	Japan	22.00	0.00	11.00		5.00	Japan Korea	Centers For Disease Control And Prevention	2018-01-18		EPI1314760	National Institute Of Infectious Diseases (niid)
A/Christchurch/521/2018	3.54	4.42	A1b/135N	New Zealand	23.00	0.00	13.00	3.00	4.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2018-09-11		EPI1358953	Canterbury Health Services
A/Philippines/334/2018	3.54	4.42	A1b/135N	Philippines	22.00	0.00	11.00		4.00	Southeast Asia	Centers For Disease Control And Prevention	2018-03-26		EPI1266245	Center For Medical Microbiology
A/Shanghai-Pudongxin/11178/2018	3.54	4.42	A1b/135N	China	24.00	0.00	11.00	1.00	4.00	China	Who Chinese National Influenza Center	2018-07-24		EPI1340314	Who Chinese National Influenza Center
